#SampleID	original-sample-ids	control	tokeep	Temperature	Long	Lat	Replicate	NAT	TemperatureEnvironmental	PHOS	DNAwhirlpak	SalinityEnviron	pHEnviron	DNAnotes	Year	Extrmethod	Polymerase	Date	Month	Day	TempAir	CHL	Person	Bottle	ChlEnviron	DOEnviron	well	Site	SiteCode	StationName	NIT	Description
E-DS-623	(R-Ds-6-23-r2, R-Ds-6-23-r3, R-Ds-6-23-r1)	n	Y	18.6	-123.061783	49.117541	no_data	no_data	no_data	no_data	no_data	0	7	no_data	2015	s	prime	no_data	6	23	no_data	no_data	F	no_data	(4.1514448, 4.1514448, 5.3597544)	10.29	no_data	no_data	DS	DeasSlough	no_data	River
E-DU-2016	(E-DU-2016-3, E-DU-2016-1, E-DU-2016-2)	n	Y	15	-123.182512	49.332475	(3, 1, 2)	(7, 32, 25)	15	no_data	(48, 10, 6)	15	7.75	NA	2016	(s, p, p)	phusion	08-Jun-16	6	8		(20, 23, 22)	M	(G, B, J)	(14.23620317, 19.83587918, 10.97582746)	11	(H5, B2, F1)	Dundarave	DU	no_data	(45, 11, no_data)	brack
E-DU-Jul-2014	(E-b-DU-1-Jul-a, E-b-DU-3-Jul-a, E-b-DU-2-Jul-a)	n	Y	20.09	-123.182512	49.332475	no_data	no_data	no_data	no_data	no_data	15	8.04	no_data	2014	s	prime	no_data	7	10	no_data	no_data	M	no_data	5.518543	9.02	no_data	no_data	no_data	Dundarave	no_data	Sea
E-DU-Jula-2014	(D7B, D7C, D7A)	n	Y	19.9	-123.182512	49.332475	no_data	no_data	no_data	no_data	no_data	11	8.49	no_data	2014	s	prime	no_data	7	28	no_data	no_data	M	no_data	5.51	11.1	no_data	no_data	no_data	Dundarave	no_data	Sea
E-FR-7-2014	(F7A, F7B, F7C)	n	Y	19.6	-123.12096	49.086113	no_data	no_data	no_data	no_data	no_data	0	7.78	no_data	2014	s	prime	no_data	7	31	no_data	no_data	M	no_data	1.53	9.42	no_data	no_data	no_data	FraserRiver	no_data	River
E-JP-2016	(E-JP-2016-2, E-JP-2016-3, E-JP-2016-1)	n	Y	19.9	-123.233559	49.279552	(2, 3, 1)	(40, 46, 5)	19.9	no_data	(3, 49, 28)	17	7.98	NA	2016	(p, s, s)	phusion	07-Jun-16	6	7	22	(35, 33, 34)	M	(D, H, L)	(5.495621472, 9.09513792, 9.511356096)	12.49	(C1, A6, C4)	JerichoPier	JP	no_data	no_data	brack
E-JT-41	(R-jt-4-1-r2, R-jt-4-1-r3, R-jt-4-1-r1)	n	N	9.3	-123.064138	49.124245	no_data	no_data	no_data	no_data	no_data	10	8	no_data	2015	s	prime	no_data	4	1	no_data	no_data	F	no_data	(0.9441592, 0.9441592, 0.8888304)	11	no_data	Jetty	JT	Jetty	no_data	River
E-JT-428	(R-jt-4-28-r1, R-jt-4-28-r2, R-jt-4-28-r3)	n	Y	10.1	-123.212213	49.127819	no_data	no_data	no_data	no_data	no_data	7	8.27	no_data	2015	s	prime	no_data	4	28	no_data	no_data	F	no_data	(0.8709824, 0.9173872, 0.9173872)	11.58	no_data	(no_data, Jetty, Jetty)	JT	(Jetty, 0.9173872, 0.9173872)	(no_data, NIT, NIT)	River
E-JT-526	(R-J-5-26-r2, R-J-5-26-r3, R-J-5-26-r1)	n	Y	14.2	-123.212213	49.127819	no_data	no_data	no_data	no_data	no_data	2	7.11	no_data	2015	s	prime	no_data	5	26	no_data	no_data	F	no_data	(0.7264136, 0.7264136, 0.6443128)	10.87	no_data	no_data	no_data	Jetty	no_data	River
E-JT-623	(R-Jt-6-23-r3, R-Jt-6-23-r2, R-Jt-6-23-r1)	n	Y	16.9	-123.212213	49.127819	no_data	no_data	no_data	no_data	no_data	3	7	no_data	2015	s	prime	no_data	6	23	no_data	no_data	F	no_data	(0.8138688, 0.8138688, 0.7728184)	10.17	no_data	no_data	no_data	Jetty	no_data	River
E-LH-2016	(E-LH-2016-2, E-LH-2016-3, E-LH-2016-1)	n	Y	17.5	-123.262106	49.330721	(2, 3, 1)	(2, 10, 26)	17.5	no_data	(47, 29, 46)	15	7.77	NA	2016	s	phusion	08-Jun-16	6	8		(24, 25, 30)	M	(O, H, E)	(18.42150816, 17.18056138, 18.26735328)	11.45	(G5, D4, F5)	LightHousePark	LH	no_data	no_data	brack
E-LS-41	(R-ls-4-1-r1, R-ls-4-1-r3, R-ls-4-1-r2)	n	N	9.1	-123.064138	49.124245	no_data	no_data	no_data	no_data	no_data	6	7.1	no_data	2015	s	prime	no_data	4	1	no_data	no_data	F	no_data	(2.6700608, 3.462512, 3.462512)	11.34	no_data	LadnerSlough	LS	LadnerSlough	no_data	River
E-LS-428	(R-ls-4-28-r1, R-ls-4-28-r3, R-ls-4-28-r2)	n	Y	10.04	-123.086845	49.093614	no_data	no_data	no_data	no_data	no_data	3	7.11	no_data	2015	s	prime	no_data	4	28	no_data	no_data	F	no_data	(3.4303856, 3.43574, 3.43574)	11.09	no_data	no_data	no_data	LadnerSlough	no_data	River
E-LS-526	(R-ls-5-26-r2, R-ls-5-26-r3, R-ls-5-26-r1)	n	Y	14.9	-123.086845	49.093614	no_data	no_data	no_data	no_data	no_data	0	7.11	no_data	2015	s	prime	no_data	5	26	no_data	no_data	F	no_data	(3.5107016, 3.5107016, 3.0823496)	9.34	no_data	no_data	no_data	Ladner Slough	no_data	River
E-LS-623	(R-Ls-6-23-r2, R-Ls-6-23-r3, R-Ls-6-23-r1)	n	Y	19.1	-123.086845	49.093614	no_data	no_data	no_data	no_data	no_data	0	7	no_data	2015	s	prime	no_data	6	23	no_data	no_data	F	no_data	(3.2287032, 3.2287032, 3.203716)	9.15	no_data	no_data	no_data	LadnerSlough	no_data	River
E-MT-41	(R-mt-4-1-r1, R-mt-4-1-r3, R-mt-4-1-r2)	n	N	7.4	-123.064138	49.124245	no_data	no_data	no_data	no_data	na	1	7.1	no_data	2015	s	prime	na	4	1	na	na	F	na	(0.785312, 0.6835784, 0.6835784)	12.37	na	na	MT	MasseyTunnel	no_data	River
E-MT-428	(R-mt-4-28-r1, R-mt-4-28-r2, R-mt-4-28-r3)	n	Y	9.8	-123.064138	49.124245	no_data	no_data	no_data	no_data	no_data	0.5	7.11	no_data	2015	s	prime	no_data	4	28	no_data	no_data	F	no_data	(1.4581816, 1.3153976, 1.3153976)	11.78	no_data	no_data	no_data	MasseyTunnel	no_data	River
E-MT-526	(R-mt-5-26-r2, R-mt-5-26-r3, R-mt-5-26-r1)	n	Y	13.7	-123.064138	49.124245	no_data	no_data	no_data	no_data	no_data	0	7.11	no_data	2015	s	prime	no_data	5	26	no_data	no_data	F	no_data	(0.6478824, 0.6478824, 0.9780704)	10.6	no_data	no_data	no_data	Massey Tunnel	no_data	River
E-MT-623	(R-Mt-6-23-r1, R-Mt-6-23-r2, R-Mt-6-23-r3)	n	Y	16.8	-123.064138	49.124245	no_data	no_data	no_data	no_data	no_data	0	7	no_data	2015	s	prime	no_data	6	23	no_data	no_data	F	no_data	(1.8579768, 1.7348256, 1.7348256)	10.28	no_data	(no_data, MasseyTunnel, MasseyTunnel)	(no_data, MT, MT)	MasseyTunnel	no_data	River
E-PM-2016	(E-PM-2016-3, E-PM-2016-2, E-PM-2016-1)	n	Y	14.8	-122.889158	49.291693	(3, 2, 1)	(3, 35, 27)	14.8	no_data	(36, 24, 14)	25	7.49	NA	2016	s	phusion	09-Jun-16	6	9		(11, 13, 16)	M	(O, J, A)	(28.44157536, 26.977104, 18.96105024)	12.67	(F4, H3, F2)	PortMoody	PM	no_data	(12, no_data, no_data)	marine
E-PM-Aug-2014	(E-s-PM-2-Aug, E-s-PM-1-Aug, E-s-PM-3-Aug)	n	Y	18.8	-122.889158	49.291693	no_data	no_data	no_data	no_data	no_data	25	7.85	no_data	2014	s	prime	no_data	8	13	no_data	no_data	M	no_data	13.43008	6.9	no_data	no_data	no_data	PortMoody	no_data	Sea
E-PM-Jul-2014	(E-s-PM-2-Jul-a, E-s-PM-1-Jul-a, E-s-PM-3-Jul-a)	n	Y	24.8	-122.889158	49.291693	no_data	no_data	no_data	no_data	no_data	21	8.3	no_data	2014	s	prime	no_data	7	10	no_data	no_data	M	no_data	1.824538	10.1	no_data	no_data	no_data	PortMoody	no_data	Sea
E-PM-Jula-2014	(P7C, P7A)	n	Y	20.3	-122.889158	49.291693	no_data	no_data	no_data	no_data	no_data	14.9	8.57	no_data	2014	s	prime	no_data	7	10	no_data	no_data	M	no_data	11.53	9.69	no_data	no_data	no_data	PortMoody	no_data	Sea
E-SA-41	(R-sa-4-1-r1, R-sa-4-1-r2, R-sa-4-1-r3)	n	N	7.4	-123.176	49.022	no_data	no_data	no_data	no_data	no_data	0	7.1	no_data	2015	s	prime	no_data	4	1	no_data	no_data	F	no_data	(0.7389072, 0.7032112, 0.7032112)	12.49	no_data	SA23	SA23	SA23	no_data	River
E-SH-41	(R-sh-4-1-r1, R-sh-4-1-r3, R-sh-4-1-r2)	n	N	9.5	NA	NA	no_data	no_data	no_data	no_data	no_data	24	8.34	no_data	2015	s	prime	no_data	4	1	no_data	no_data	F	no_data	(3.6695488, 3.4321704, 3.4321704)	11.49	no_data	SandHeads	SH	SandHeads	no_data	River
