taxa	pred_type	manual_est_range		type	typeSimple	meanA	meanB	meanC	A	B	sigAB	sigBC	sigAC	bloom	boundaries	boundariestwo
EU803255.1.1288				freshRestricted	freshRestricted	0.010460317	0.006172946	0.000946347	4	7	0.038609699	3.99E-07	1.27E-09	No	5.648081508	
EU803301.1.1478	freshRestricted	0 to 15	YES	freshRestricted	freshRestricted	0.01233805	0.000503142	0	3	15	0.00516269	0.062349995	0.000316981	No	3.489356736	
EU804035.1.1456				freshRestricted	freshRestricted	0.005433578	4.11E-05	0	4	9	1.96E-07	0.179737529	4.30E-08	No	4.037809974	
EU919817.1.1454				noclass	noclass	0.001544351	0.00410458	0.000309499	5	9	0.182408578	0.000286441	0.083755558	No		
EU919842.1.1449				brackishRestricted	brackishRestricted	0.000525707	0.005240795	0.000264382	6	20	6.95E-05	9.34E-05	0.333233169	No	6	20
FJ382043.1.1322	freshRestricted	3 to 12	YES	freshRestricted	freshRestricted	0.006890798	0.00358873	0.000399012	5	7	0.102766109	0.002155059	2.72E-06	No	5.98269356	
FJ424571.1.1324				brackishRestricted	brackishRestricted	0	0.018395527	0.003833514	4	6	0.000272138	9.84E-07	0.039242209	No	4	6
FJ497462.1.1443				brackishRestricted	brackishRestricted	0	0.004955669	0.000110874	9	11	4.15E-09	8.07E-05	0.083029239	No	9	11
FJ497552.1.1382	brackishRestricted	6 to 14	YES	brackishBloom	brackishRestricted	0	0.001020256	0	8	13	9.46E-05	0.00525116	1	brackish	8	13
FJ612273.1.1432				freshRestricted	freshRestricted	0.008329402	0.001865583	0.000263738	4	8	0.009238385	0.005712095	6.12E-06	No	4.794402146	
FJ745018.1.1366				brackishRestricted	brackishRestricted	0	0.017197263	0.001338981	13	25	1.41E-26	2.86E-05	6.44E-07	No	13	25
FJ826012.1.1300	brackishRestricted	6 to 30	YES	brackishRestricted	brackishRestricted	0.000484729	0.009705741	0.001505741	13	20	2.00E-14	0.00065457	0.001787141	No	13	20
FJ826119.1.1472				brackishRestricted	brackishRestricted	7.80E-05	0.010345041	0	30	34	4.38E-29	0.01274564	0.428758222	No	30	34
FJ902261.1.1398				brackishRestricted	brackishRestricted	0.001262707	0.006771837	0.000171814	18.5	21	7.28E-05	9.80E-06	0.069204438	No	18.5	21
FLMP01004438.2803.4058				noclass	noclass	0	0.003954294	0	27	34	1.17E-09	0.191964045	1	No		
FLOH01000017.755394.756875	brackishRestricted	10 to 12	YES	brackishBloom	brackishRestricted	0	0.002979063	0	10	12	4.76E-08	0.000263851	1	brackish	10	12
FLOH01000028.247708.249247				brackishRestricted	brackishRestricted	0.002254221	0.031442187	0.000188288	10	13	1.88E-10	1.41E-07	0.10560388	No	10	13
